"","Dia","Valor"
"767","25.Jan.2013",470.68
"768","28.Jan.2013",470.99
"769","29.Jan.2013",472.56
"770","30.Jan.2013",472.73
"771","31.Jan.2013",471.4
"772","01.Feb.2013",471.44
"773","04.Feb.2013",471.64
"774","05.Feb.2013",472.27
"775","06.Feb.2013",472.39
"776","07.Feb.2013",473.23
"777","08.Feb.2013",472.62
"778","11.Feb.2013",472.55
"779","12.Feb.2013",472.71
"780","13.Feb.2013",472.2
"781","14.Feb.2013",470.67
"782","15.Feb.2013",470.83
"783","18.Feb.2013",470.87
"784","19.Feb.2013",471.89
"785","20.Feb.2013",472.21
"786","21.Feb.2013",472.83
"787","22.Feb.2013",473.6
"788","25.Feb.2013",473.18
"789","26.Feb.2013",473.02
"790","27.Feb.2013",473.44
"791","28.Feb.2013",473.3
"792","01.Mar.2013",472.96
"793","04.Mar.2013",474.31
"794","05.Mar.2013",474.82
"795","06.Mar.2013",473.01
"796","07.Mar.2013",472.7
"797","08.Mar.2013",472.06
"798","11.Mar.2013",471.9
"799","12.Mar.2013",471.69
"800","13.Mar.2013",471.16
"801","14.Mar.2013",471.28
"802","15.Mar.2013",471.1
"803","18.Mar.2013",471.63
"804","19.Mar.2013",472.38
"805","20.Mar.2013",472.34
"806","21.Mar.2013",472.79
"807","22.Mar.2013",473.03
"808","25.Mar.2013",472.77
"809","26.Mar.2013",472.6
"810","27.Mar.2013",472.61
"811","28.Mar.2013",472.54
"812","01.Apr.2013",472.03
"813","02.Apr.2013",472.51
"814","03.Apr.2013",472.55
"815","04.Apr.2013",472.38
"816","05.Apr.2013",470.83
"817","08.Apr.2013",469.28
"818","09.Apr.2013",467.38
"819","10.Apr.2013",466.5
"820","11.Apr.2013",468.54
"821","12.Apr.2013",468.74
"822","15.Apr.2013",469.24
"823","16.Apr.2013",472.12
"824","17.Apr.2013",472.07
"825","18.Apr.2013",473.8
"826","19.Apr.2013",475.93
"827","22.Apr.2013",476.8
"828","23.Apr.2013",477.74
"829","24.Apr.2013",477.42
"830","25.Apr.2013",474.84
"831","26.Apr.2013",472.73
"832","29.Apr.2013",472.05
"833","30.Apr.2013",471.54
"834","02.May.2013",471.31
"835","03.May.2013",472.44
"836","06.May.2013",469.73
"837","07.May.2013",469.64
"838","08.May.2013",470.07
"839","09.May.2013",471.06
"840","10.May.2013",472.03
"841","13.May.2013",474.04
"842","14.May.2013",475.68
"843","15.May.2013",477.32
"844","16.May.2013",478.71
"845","17.May.2013",479.04
"846","20.May.2013",480.81
"847","22.May.2013",483.39
"848","23.May.2013",484.51
"849","24.May.2013",488.85
"850","27.May.2013",488.86
"851","28.May.2013",489.99
"852","29.May.2013",490.31
"853","30.May.2013",490.65
"854","31.May.2013",492.8
"855","03.Jun.2013",499.78
"856","04.Jun.2013",501.99
"857","05.Jun.2013",499.85
"858","06.Jun.2013",502.48
"859","07.Jun.2013",505.09
"860","10.Jun.2013",501.52
"861","11.Jun.2013",504.75
"862","12.Jun.2013",503.59
"863","13.Jun.2013",498.85
"864","14.Jun.2013",496.71
"865","17.Jun.2013",492.59
"866","18.Jun.2013",492.9
"867","19.Jun.2013",499.12
"868","20.Jun.2013",500.68
"869","21.Jun.2013",512.6
"870","24.Jun.2013",514.38
"871","25.Jun.2013",513.4
"872","26.Jun.2013",508.56
"873","27.Jun.2013",505.02
"874","28.Jun.2013",503.86
"875","01.Jul.2013",507.16
"876","02.Jul.2013",504.99
"877","03.Jul.2013",503.42
"878","04.Jul.2013",503.21
"879","05.Jul.2013",501.44
"880","08.Jul.2013",506.96
"881","09.Jul.2013",506.61
